record_id,source_id,source_title,record_name,normalized_name,text_exists,text_characters,image_count,dimension_signature,entity_attribute_count,asset_status,text_path,image_directory
Yjzq00011,Yjzq,一见钟琴,无名琴 · Yjzq00011,无名琴,True,181,5,L=121cm; W=19.4cm; T=5cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00011.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00011
Yjzq00013,Yjzq,一见钟琴,凤鸣,凤鸣,True,356,5,L=127.7cm; W=22.3cm; T=5.3cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00013.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00013
Yjzq00017,Yjzq,一见钟琴,无名琴 · Yjzq00017,无名琴,True,391,3,L=117.4cm; W=18.5cm; T=5.4cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00017.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00017
Yjzq00019,Yjzq,一见钟琴,松石间意,松石间意,True,3001,2,L=122.5cm; W=20.7cm; T=5.3cm,6,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00019.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00019
Yjzq00023,Yjzq,一见钟琴,无名琴 · Yjzq00023,无名琴,True,223,5,L=20.4cm; W=119.8cm; T=5.6cm,6,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00023.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00023
Yjzq00024,Yjzq,一见钟琴,无名琴 · Yjzq00024,无名琴,True,410,5,L=119.2cm; W=19.9cm; T=5cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00024.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00024
Yjzq00025,Yjzq,一见钟琴,霜天月,霜天月,True,430,5,L=154.1cm; W=21cm; T=5.5cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00025.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00025
Yjzq00028,Yjzq,一见钟琴,无名琴 · Yjzq00028,无名琴,True,163,6,L=121.8cm; W=19.1cm; T=5.1cm,6,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00028.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00028
Yjzq00029,Yjzq,一见钟琴,霜钟,霜钟,True,482,5,L=119.5cm; W=18.8cm; T=5.3cm,3,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00029.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00029
Yjzq00031,Yjzq,一见钟琴,中和,中和,True,543,5,L=120.8cm; W=18.6cm; T=5.8cm,6,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00031.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00031
Yjzq00033,Yjzq,一见钟琴,韵磬,韵磬,True,469,5,L=124.5cm; W=9.1cm; T=5.1cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00033.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00033
Yjzq00035,Yjzq,一见钟琴,一天秋,一天秋,True,373,5,L=121cm; W=18.2cm; T=5.5cm,3,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00035.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00035
Yjzq00037,Yjzq,一见钟琴,无名琴 · Yjzq00037,无名琴,True,430,5,L=110.5cm; W=17.6cm; T=5.1cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00037.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00037
